city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
晋中,康宁路,138㎡,高层（共6层）,职教艺墅,75万,山西,3室2厅,南北向,5435元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201943.htm
九江,濂溪-濂溪区德化东路与青年南路交汇处以东,112㎡,高层（共33层）,阳光365,83万,江西,3室2厅,南向,7411元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_396521944.htm
九江,濂溪-濂溪区德化东路与青年南路交汇处以东,112㎡,高层（共33层）,阳光365,83万,江西,3室2厅,南向,7411元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_396521944.htm
九江,濂溪-前进东路与九莲北路交汇处,125㎡,中层（共11层）,恒大御景,105万,江西,3室2厅,南北向,8400元/㎡,2019年建,https://jiujiang.esf.fang.com/chushou/3_393977663.htm
九江,濂溪-前进东路与九莲北路交汇处,125㎡,中层（共11层）,恒大御景,105万,江西,3室2厅,南北向,8400元/㎡,2019年建,https://jiujiang.esf.fang.com/chushou/3_393977663.htm
九江,柴桑商圈-长江大道与胜利大道(文博大道)交汇处,123㎡,高层（共33层）,联泰·万泰城,114万,江西,3室2厅,南向,9268元/㎡,,https://jiujiang.esf.fang.com/chushou/3_389826514.htm
九江,柴桑商圈-长江大道与胜利大道(文博大道)交汇处,123㎡,高层（共33层）,联泰·万泰城,114万,江西,3室2厅,南向,9268元/㎡,,https://jiujiang.esf.fang.com/chushou/3_389826514.htm
九江,濂溪-前进东路与九莲北路交汇处,105㎡,低层（共11层）,恒大御景,90万,江西,3室2厅,南向,8571元/㎡,2016年建,https://jiujiang.esf.fang.com/chushou/3_392280539.htm
九江,濂溪-前进东路与九莲北路交汇处,105㎡,低层（共11层）,恒大御景,90万,江西,3室2厅,南向,8571元/㎡,2016年建,https://jiujiang.esf.fang.com/chushou/3_392280539.htm
九江,濂溪-九莲北路,105㎡,中层（共18层）,中辉学府,79.9万,江西,3室2厅,南向,7610元/㎡,2017年建,https://jiujiang.esf.fang.com/chushou/3_393342819.htm
九江,濂溪-九莲北路,105㎡,中层（共18层）,中辉学府,79.9万,江西,3室2厅,南向,7610元/㎡,2017年建,https://jiujiang.esf.fang.com/chushou/3_393342819.htm
九江,"一中-八里湖新区,未来的国际大都会、生态宜居城。项",98㎡,中层（共26层）,碧桂园联发浔阳府,88.5万,江西,3室2厅,南北向,9031元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_365552387.htm
九江,"一中-八里湖新区,未来的国际大都会、生态宜居城。项",98㎡,中层（共26层）,碧桂园联发浔阳府,88.5万,江西,3室2厅,南北向,9031元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_365552387.htm
九江,一中-九江前进西路与环湖路交汇处,110㎡,高层（共39层）,九江中奥广场,125万,江西,4室2厅,南北向,11364元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_389263643.htm
